file	width	height	preset	q	m	zen_def_b	zen_strict_b	lib_b	def_butter	strict_butter	lib_butter	def_size_ratio	strict_size_ratio	def_butter_delta	strict_butter_delta
cid22/1147124.png	512	512	Photo	25	4	20270	20386	20278	7.1401	7.1699	6.2941	0.9996	1.0053	+0.8459	+0.8758
cid22/1147124.png	512	512	Photo	25	6	19378	19494	19488	6.6001	6.0995	7.0950	0.9944	1.0003	-0.4949	-0.9955
cid22/1147124.png	512	512	Photo	75	0	47102	47102	50080	3.5395	3.5395	3.4440	0.9405	0.9405	+0.0956	+0.0956
cid22/1147124.png	512	512	Photo	75	4	40506	40960	40902	3.0972	3.0640	3.2511	0.9903	1.0014	-0.1539	-0.1871
cid22/1147124.png	512	512	Photo	75	6	39034	39164	39424	3.3233	3.2877	3.3450	0.9901	0.9934	-0.0216	-0.0573
cid22/1147124.png	512	512	Photo	90	0	77862	77862	78938	1.8499	1.8499	1.8562	0.9864	0.9864	-0.0063	-0.0063
cid22/1147124.png	512	512	Photo	90	4	77188	77950	76514	1.9998	2.0621	2.1754	1.0088	1.0188	-0.1757	-0.1134
cid22/1147124.png	512	512	Photo	90	6	74178	74840	74186	1.8268	1.9858	1.7846	0.9999	1.0088	+0.0422	+0.2012
cid22/1173777.png	512	512	Default	25	0	30494	30494	33016	7.1713	7.1713	6.8570	0.9236	0.9236	+0.3143	+0.3143
cid22/1173777.png	512	512	Default	25	4	27606	27882	27826	5.4934	5.8094	5.8064	0.9921	1.0020	-0.3130	+0.0030
